NumberOfAnimals;NumberOfPlants;EmptyFields;MostPopularGenes;MeanAnimalEnergy;MeanLifetime
20;29;179;0011;6.25;0.0
20;31;175;0011;6.0;0.0
20;34;172;0011;5.5;0.0
20;36;169;0011;5.25;0.0
20;38;168;0011;5.0;0.0
20;39;168;0011;5.0;0.0
20;39;168;0011;5.25;0.0
13;42;170;0011;7.846153846153846;7.0
13;44;169;0011;8.0;7.0
13;45;168;0011;8.538461538461538;7.0
13;48;164;0011;8.307692307692308;7.0
13;52;160;0011;7.6923076923076925;7.0
8;54;164;0011;13.375;9.083333333333334
8;56;162;0011;14.25;9.083333333333334
8;59;158;0011;14.5;9.083333333333334
8;60;157;0011;16.0;9.083333333333334
8;61;158;0011;17.5;9.083333333333334
8;64;155;0011;17.75;9.083333333333334
8;66;153;0011;18.625;9.083333333333334
8;68;150;0011;19.5;9.083333333333334
8;69;150;0011;21.0;9.083333333333334
9;71;148;0011;17.88888888888889;9.083333333333334
9;75;144;0011;16.0;10.076923076923077
9;76;143;0011;17.22222222222222;10.076923076923077
9;77;142;0011;18.444444444444443;10.076923076923077
9;77;141;0011;20.22222222222222;10.076923076923077
9;79;139;0011;20.88888888888889;10.076923076923077
8;83;134;1031;23.125;11.285714285714286
8;85;133;1031;24.0;11.285714285714286
8;87;131;1031;24.875;11.285714285714286
8;89;130;1031;25.75;11.285714285714286
8;91;128;1031;26.625;11.285714285714286
8;92;127;1031;28.125;11.285714285714286
9;93;127;1031;24.77777777777778;11.285714285714286
9;94;126;1031;26.0;11.285714285714286
9;95;125;1031;27.22222222222222;11.285714285714286
9;96;124;1031;28.444444444444443;11.285714285714286
9;96;123;1031;30.22222222222222;11.285714285714286
8;99;121;1031;34.25;11.666666666666666
8;101;117;1031;35.125;11.666666666666666
7;103;116;1031;41.285714285714285;11.375
