NumberOfAnimals;NumberOfPlants;EmptyFields;MostPopularGenes;MeanAnimalEnergy;MeanLifetime
150;160;365;0011;17.586666666666666;23.20122699386503
149;164;350;0011;17.65771812080537;23.234146341463415
148;168;352;0011;17.804054054054053;23.194174757281555
143;172;348;0011;18.48951048951049;23.22716346153846
143;170;354;0011;18.706293706293707;23.197132616487455
143;171;354;0011;18.74125874125874;23.184304399524375
143;160;358;0011;19.46853146853147;23.328994082840236
142;167;356;0011;19.35211267605634;23.441176470588236
142;171;362;0011;19.246478873239436;23.473745624270713
142;174;350;7321;19.154929577464788;23.45654692931634
147;171;356;7321;18.632653061224488;23.45654692931634
148;175;347;7321;18.16216216216216;23.589182968929805
151;171;352;7321;17.91390728476821;23.764032073310425
148;171;345;7321;18.493243243243242;23.775881683731512
142;175;347;7321;19.169014084507044;23.907761529808774
138;174;347;7321;20.014492753623188;24.079911209766927
134;170;354;7321;21.03731343283582;24.363036303630363
130;176;353;7321;21.876923076923077;24.333333333333332
129;180;354;7321;22.186046511627907;24.350762527233115
132;174;367;7321;21.946969696969695;24.383947939262473
133;177;355;7321;21.902255639097746;24.32864864864865
131;177;349;7321;22.49618320610687;24.311827956989248
131;181;346;7321;22.65648854961832;24.327974276527332
129;181;353;7321;23.48062015503876;24.340448239060834
128;183;348;7321;23.9609375;24.335812964930923
130;190;331;7321;23.6;24.32271762208068
133;189;336;7321;23.097744360902254;24.296610169491526
132;188;344;7321;23.613636363636363;24.281348788198102
133;190;338;7321;23.60902255639098;24.430672268907564
133;188;337;7321;24.06766917293233;24.420942408376963
138;183;350;7321;23.355072463768117;24.450365726227794
137;179;341;7321;23.934306569343065;24.439125910509887
132;172;357;7321;25.727272727272727;24.445708376421923
135;178;347;7321;24.881481481481483;24.43666323377961
138;179;346;7321;24.57246376811594;24.399795501022496
141;178;339;7321;24.30496453900709;24.424923391215525
144;175;343;7321;24.125;24.405102040816328
147;183;340;7321;23.034013605442176;24.414213197969545
148;183;337;7321;22.824324324324323;24.34611503531786
145;178;343;7321;23.71034482758621;24.32364729458918
146;181;344;7321;23.5;24.286427145708583
150;185;331;7321;22.686666666666667;24.375498007968126
148;187;333;7321;22.844594594594593;24.38217821782178
149;184;347;7321;22.80536912751678;24.443786982248522
157;190;330;7321;20.88535031847134;24.434055118110237
155;182;332;7321;21.580645161290324;24.39177277179236
155;181;331;7321;21.690322580645162;24.423828125
160;180;342;7321;20.68125;24.379746835443036
157;190;319;7321;20.445859872611464;24.412729026036644
155;179;336;7321;21.387096774193548;24.389261744966444
152;179;343;7321;21.861842105263158;24.430066603235016
152;178;348;7321;21.960526315789473;24.461174242424242
149;189;333;7321;22.06040268456376;24.54288407163054
150;183;335;7321;22.226666666666667;24.571428571428573
156;182;335;7321;21.25;24.692307692307693
163;179;340;7321;19.803680981595093;24.692523364485982
164;170;347;7321;19.920731707317074;24.638475836431226
168;163;340;7321;19.422619047619047;24.646296296296295
167;169;331;7321;19.24550898203593;24.740331491712706
169;170;340;7321;18.597633136094675;24.766697163769443
171;170;345;3555;18.023391812865498;24.693006357856493
166;163;342;7321;18.85542168674699;24.646528403967537
165;160;347;7321;19.12727272727273;24.587073608617594
160;159;342;7321;19.675;24.595896520963425
154;157;345;7321;20.83116883116883;24.694690265486727
153;157;349;7321;20.947712418300654;24.684256816182938
152;159;357;7321;21.013157894736842;24.640980735551665
153;150;376;7321;21.15032679738562;24.612903225806452
156;145;372;7321;20.794871794871796;24.62695652173913
156;151;364;7321;20.557692307692307;24.557093425605537
157;149;363;7321;20.37579617834395;24.536606373815676
163;138;370;7321;19.926380368098158;24.536606373815676
164;144;366;7321;19.036585365853657;24.5235646958012
167;142;369;7321;18.437125748502993;24.50085178875639
165;145;368;7321;18.13939393939394;24.620456466610314
163;142;359;7321;18.411042944785276;24.605882352941176
160;129;381;7321;19.23125;24.513355592654424
164;136;364;7321;18.225609756097562;24.464612822647794
158;137;364;7321;18.696202531645568;24.415841584158414
153;123;377;6736;20.359477124183005;24.485270049099835
146;141;366;6736;20.47945205479452;24.426362896663953
146;144;368;6736;20.431506849315067;24.407617504051863
149;144;368;6736;19.892617449664428;24.457119741100325
151;144;366;6736;19.490066225165563;24.602739726027398
150;149;363;6736;19.253333333333334;24.73055332798717
150;147;369;6736;19.546666666666667;24.716
149;145;371;6736;19.543624161073826;24.7906050955414
146;147;372;6736;20.013698630136986;24.78050713153724
138;146;373;6736;21.485507246376812;24.9389193422083
137;140;381;6736;21.78832116788321;24.975058456742012
141;147;371;6736;20.886524822695037;24.954863813229572
144;151;359;6736;20.333333333333332;24.939346811819597
145;145;369;6736;20.620689655172413;24.98913043478261
143;142;375;6736;21.104895104895103;24.960556844547565
136;142;383;6736;22.58823529411765;24.978494623655912
135;147;374;6736;22.607407407407408;25.160796324655436
135;148;379;6736;22.77777777777778;25.14514896867838
135;143;381;6736;23.444444444444443;25.177726926010678
138;145;379;6736;22.77536231884058;25.18811881188119
140;145;378;6736;22.59285714285714;25.26595744680851
148;143;386;6736;21.074324324324323;25.331055429005314
147;132;379;6736;21.829931972789115;25.318181818181817
149;138;382;6736;21.23489932885906;25.29607250755287
149;138;377;6736;21.375838926174495;25.299698795180724
149;139;377;6736;21.268456375838927;25.325825825825827
150;144;369;6736;20.526666666666667;25.318385650224215
150;138;381;6736;20.84;25.390461997019376
147;144;364;6736;20.897959183673468;25.380563798219583
148;156;370;6736;20.074324324324323;25.361890694239293
148;153;361;6736;20.263513513513512;25.35861561119293
146;153;366;6736;20.65068493150685;25.429304029304028
146;149;371;6736;20.664383561643834;25.394005847953217
146;148;372;6736;20.835616438356166;25.394756008739986
148;145;377;6736;20.60810810810811;25.428467683369643
145;146;369;6736;21.29655172413793;25.417510853835022
146;138;376;6736;21.39041095890411;25.37328519855596
146;141;384;6736;21.273972602739725;25.51473759884975
143;141;378;6736;21.76923076923077;25.583392984967787
146;143;378;6736;21.253424657534246;25.775714285714287
148;139;370;6736;21.033783783783782;25.781183178902353
143;140;376;6736;21.993006993006993;25.913536498936924
140;145;378;6736;22.321428571428573;25.98942172073343
149;150;380;6736;20.335570469798657;26.053408292340126
149;151;365;6736;20.29530201342282;26.023842917251052
147;149;363;6736;20.891156462585034;25.988120195667367
145;151;369;6736;21.358620689655172;25.98465829846583
145;150;368;6736;21.44137931034483;25.978427279053584
144;149;372;6736;21.645833333333332;25.95145631067961
142;149;373;6736;21.971830985915492;25.940525587828493
140;151;373;6736;22.135714285714286;25.94283746556474
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
142;154;369;6736;21.52112676056338;25.934752747252748
