NumberOfAnimals;NumberOfPlants;EmptyFields;MostPopularGenes;MeanAnimalEnergy;MeanLifetime
104;118;423;0011;18.221153846153847;0.0
110;129;408;0011;16.754545454545454;0.0
116;137;396;0011;15.310344827586206;0.0
121;145;386;0011;14.041322314049587;0.0
122;150;380;0011;14.065573770491802;4.0
100;159;387;3202;17.46;4.958333333333333
97;169;373;3202;18.34020618556701;4.964285714285714
100;172;380;3202;18.08;4.964285714285714
100;180;373;3202;18.13;5.0
105;186;374;3202;17.34285714285714;5.129032258064516
105;192;364;3202;17.8;5.129032258064516
104;198;357;3202;18.153846153846153;5.628571428571429
90;200;359;3202;22.244444444444444;7.285714285714286
92;203;358;3202;22.434782608695652;7.285714285714286
94;211;346;3202;22.382978723404257;7.285714285714286
96;212;345;3202;22.822916666666668;7.285714285714286
98;217;341;3202;22.632653061224488;7.285714285714286
101;220;342;3202;22.534653465346533;7.285714285714286
105;219;345;3202;22.17142857142857;7.2745098039215685
101;216;351;3202;24.03960396039604;8.689655172413794
100;211;349;3202;25.53;9.0
101;209;347;3202;26.297029702970296;9.161290322580646
104;202;359;3202;26.35576923076923;9.095238095238095
105;203;352;3202;26.36190476190476;9.283582089552239
106;198;352;3202;27.047169811320753;9.8
111;195;353;1210;26.324324324324323;9.8
109;193;360;1210;27.220183486238533;10.802631578947368
109;184;367;1210;28.220183486238533;11.1375
113;180;370;1210;27.884955752212388;11.061728395061728
117;174;375;0323;27.273504273504273;11.376470588235295
120;167;377;0323;27.333333333333332;11.298850574712644
128;167;380;0323;25.484375;11.235955056179776
134;167;380;0323;24.313432835820894;11.692307692307692
133;165;379;0323;24.654135338345863;12.414141414141413
135;164;378;2102;24.266666666666666;12.89423076923077
133;162;376;2102;24.857142857142858;12.8
132;161;373;2102;25.53787878787879;12.70796460176991
133;160;378;2121;25.263157894736842;12.675
136;158;378;2121;24.83823529411765;12.693548387096774
136;151;371;2121;25.448529411764707;12.7734375
139;151;386;2121;24.618705035971225;13.097744360902256
141;160;368;2031;23.673758865248228;13.321167883211679
143;159;363;2031;23.51048951048951;13.142857142857142
139;160;371;2031;23.820143884892087;12.89864864864865
145;164;368;2031;22.44137931034483;12.841059602649006
144;155;373;2102;22.979166666666668;12.651898734177216
140;155;371;2102;23.87857142857143;13.25301204819277
143;151;373;2102;23.377622377622377;13.404761904761905
141;149;377;2102;23.907801418439718;13.89655172413793
139;145;377;2102;24.136690647482013;14.03888888888889
136;140;389;2102;25.154411764705884;14.26063829787234
142;147;387;2102;23.52112676056338;14.285714285714286
146;148;385;2102;22.445205479452056;14.548717948717949
145;152;376;2102;22.55862068965517;14.64179104477612
146;153;380;2102;22.17808219178082;14.859223300970873
139;156;379;2102;23.402877697841728;15.175115207373272
142;159;371;2102;22.816901408450704;15.154545454545454
145;151;377;2102;22.627586206896552;15.16
147;150;374;2102;22.45578231292517;15.057017543859649
144;153;376;2102;22.88888888888889;15.029661016949152
145;152;369;2102;22.779310344827586;15.029166666666667
145;153;366;2102;22.83448275862069;15.2
145;157;367;2102;22.606896551724137;15.222222222222221
144;160;373;2102;22.45138888888889;15.613899613899614
148;159;361;2102;21.91216216216216;15.559386973180077
153;161;365;2102;20.88888888888889;15.822641509433963
157;156;361;2102;20.53503184713376;15.917602996254681
162;159;356;1011;19.450617283950617;15.970588235294118
155;159;358;1011;20.16774193548387;16.264084507042252
154;153;364;1011;20.61038961038961;16.70344827586207
154;156;363;2121;20.415584415584416;16.694915254237287
158;154;365;2121;19.71518987341772;16.785953177257525
158;157;362;2121;19.60126582278481;16.744262295081967
154;154;355;2121;20.22077922077922;17.06984126984127
157;158;359;2101;19.388535031847134;17.246875
153;156;362;2101;19.901960784313726;17.61280487804878
154;162;357;2101;19.474025974025974;17.864864864864863
158;156;363;2101;19.069620253164558;17.792284866468844
157;162;357;2101;18.878980891719745;18.052325581395348
153;158;360;2101;19.431372549019606;18.04494382022472
152;158;354;2101;19.50657894736842;18.33150684931507
152;163;357;2101;18.967105263157894;18.446524064171122
153;164;360;2101;18.84313725490196;18.603174603174605
153;161;354;2101;18.895424836601308;18.524675324675325
158;164;357;2101;17.9873417721519;18.438144329896907
155;163;353;2101;18.18709677419355;18.394936708860758
155;167;357;2101;17.825806451612902;18.451612903225808
149;164;357;2101;18.7248322147651;18.84503631961259
143;160;362;2101;19.97902097902098;18.84
146;152;367;2101;20.006849315068493;18.957943925233646
150;151;374;2101;19.386666666666667;18.84490740740741
149;150;372;2101;19.604026845637584;18.819221967963387
149;153;361;2101;19.684563758389263;18.920454545454547
151;153;364;2101;19.350993377483444;19.017977528089887
155;157;356;2101;18.638709677419357;19.038031319910516
155;155;352;2101;18.6;18.962472406181014
155;149;368;2101;18.903225806451612;19.041484716157207
159;156;363;2101;17.572327044025158;18.92933618843683
156;156;363;2101;17.942307692307693;18.926470588235293
155;161;367;2101;17.929032258064517;18.96049896049896
152;161;347;2101;18.43421052631579;18.886831275720166
147;166;356;2101;18.775510204081634;18.929718875502008
138;167;353;2101;20.144927536231883;19.113725490196078
139;173;353;2101;19.741007194244606;19.03112840466926
137;163;363;2101;20.912408759124087;19.28185328185328
137;160;364;2101;21.37956204379562;19.571976967370443
136;158;359;2101;21.96323529411765;19.733333333333334
140;151;375;2101;21.685714285714287;19.789772727272727
142;147;372;2101;21.845070422535212;19.761814744801512
143;150;363;2101;21.524475524475523;19.719924812030076
148;147;367;2101;20.87837837837838;19.78878504672897
150;150;367;2101;20.326666666666668;19.797397769516728
151;147;367;2101;20.344370860927153;19.792279411764707
152;147;367;2101;20.13157894736842;19.841818181818184
154;148;367;2101;19.733766233766232;19.922522522522524
155;154;358;6156;19.07741935483871;20.202846975088967
158;149;360;6156;19.0126582278481;20.175843694493782
160;156;362;6156;18.09375;20.2688927943761
158;157;364;6156;18.227848101265824;20.502599653379548
160;151;352;6156;18.075;20.43448275862069
155;151;359;6156;18.883870967741935;20.37649063032368
151;153;366;6156;19.185430463576157;20.47068676716918
153;150;365;6156;18.954248366013072;20.402662229617306
156;153;360;6156;17.647435897435898;20.379705400981997
154;156;352;6156;17.805194805194805;20.409756097560976
145;156;356;6156;19.22758620689655;20.861244019138756
150;154;365;6156;18.48;21.04754358161648
154;156;366;6156;17.883116883116884;21.09004739336493
156;156;361;6156;17.487179487179485;21.0251572327044
160;149;354;6156;17.23125;21.162754303599375
156;145;361;6156;17.878205128205128;21.248062015503876
154;149;367;1011;17.974025974025974;21.25153374233129
151;155;364;6156;18.178807947019866;21.262518968133534
148;156;350;6156;18.716216216216218;21.294736842105262
148;150;363;6156;19.18243243243243;21.275862068965516
148;148;372;6156;19.324324324324323;21.29210134128167
148;145;379;6156;19.20945945945946;21.36725663716814
144;148;371;6156;19.77777777777778;21.518950437317784
142;147;375;2150;20.323943661971832;21.820916905444125
145;146;376;2150;19.986206896551725;21.7774607703281
144;150;373;2402;19.868055555555557;21.87146892655367
145;151;363;2150;19.275862068965516;21.913286713286713
150;144;380;2150;18.893333333333334;21.8744769874477
152;148;367;7616;18.44736842105263;22.0
154;140;377;7616;18.675324675324674;21.96265560165975
159;139;379;7616;17.91823899371069;21.98896551724138
157;136;371;7616;18.426751592356688;22.259917920656633
158;136;374;7616;18.29113924050633;22.283378746594007
157;144;372;7616;18.133757961783438;22.349120433017593
155;145;365;7616;18.161290322580644;22.491957104557642
158;139;377;2402;17.911392405063292;22.496671105193077
158;141;369;2402;17.61392405063291;22.5
155;137;381;2402;18.2;22.54581151832461
157;138;371;2402;17.84713375796178;22.684485006518905
155;141;370;0011;17.941935483870967;22.66364812419146
152;143;367;0011;18.32236842105263;22.611538461538462
153;150;362;0011;17.96078431372549;22.599744245524295
154;141;372;0011;18.33116883116883;22.573248407643312
151;141;380;0011;18.662251655629138;22.59090909090909
152;149;368;0011;18.04605263157895;22.8375
152;150;367;0011;17.789473684210527;23.048387096774192
