NumberOfAnimals;NumberOfPlants;EmptyFields;MostPopularGenes;MeanAnimalEnergy;MeanLifetime
107;139;995;2322;16.747663551401867;0.0
108;176;949;2101;15.546296296296296;2.0
113;188;939;2101;14.530973451327434;2.0
90;225;916;2322;17.477777777777778;4.814814814814815
89;240;902;2322;17.853932584269664;4.821428571428571
91;256;889;2322;17.318681318681318;4.821428571428571
93;292;849;2322;16.376344086021504;4.821428571428571
94;297;843;2322;16.79787234042553;4.821428571428571
85;321;830;2322;19.152941176470588;6.7368421052631575
85;332;822;2322;19.623529411764707;6.923076923076923
88;348;814;2322;20.136363636363637;6.923076923076923
89;355;806;2322;20.43820224719101;6.923076923076923
89;357;803;2322;21.640449438202246;6.923076923076923
82;367;804;3221;25.341463414634145;9.53061224489796
85;367;802;3221;25.564705882352943;9.53061224489796
88;373;796;3221;26.147727272727273;9.686274509803921
88;370;793;1213;27.204545454545453;10.075471698113208
87;376;790;1213;28.17241379310345;9.872727272727273
78;376;802;1213;33.705128205128204;13.0
81;375;801;1213;33.641975308641975;13.2
89;375;791;1213;32.37078651685393;13.084507042253522
93;372;787;1213;32.935483870967744;13.36986301369863
93;379;787;1213;34.473118279569896;15.105882352941176
97;379;786;1213;33.49484536082474;14.818181818181818
99;383;779;1213;33.97979797979798;15.164835164835164
107;377;778;1213;32.74766355140187;14.840425531914894
108;379;776;1213;33.5;15.792079207920793
112;385;769;1213;32.80357142857143;15.654205607476635
124;381;777;1213;30.088709677419356;15.663636363636364
128;386;769;1213;28.734375;15.482758620689655
132;376;761;1630;28.242424242424242;15.881889763779528
139;383;764;1630;26.115107913669064;15.757575757575758
141;376;768;1630;25.843971631205672;15.993103448275862
144;372;759;1630;25.055555555555557;15.95973154362416
142;370;762;0212;25.52112676056338;15.828025477707007
132;371;759;0212;28.03787878787879;15.239766081871345
130;367;764;0212;28.99230769230769;15.11864406779661
128;369;765;0212;29.7421875;14.983516483516484
132;368;765;0212;29.0;14.96808510638298
134;372;763;0212;28.51492537313433;15.115789473684211
137;370;758;0212;27.963503649635037;15.542713567839195
135;366;758;0212;28.992592592592594;15.458128078817735
131;362;773;0212;30.66412213740458;15.317757009345794
130;363;769;0212;31.0;15.51131221719457
133;354;777;0212;30.984962406015036;16.157205240174672
136;350;770;0352;30.573529411764707;16.125541125541126
139;346;778;0352;29.97841726618705;16.012820512820515
143;334;784;0352;29.622377622377623;16.020746887966805
146;341;780;0352;28.636986301369863;16.1265306122449
151;346;775;0352;27.403973509933774;16.711462450592887
